Klient: /127.0.0.1 55576 Wynik: 4 Odpowiedzi: A, , A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56024 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56020 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56019 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56018 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56014 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56016 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56017 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56015 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56013 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56012 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56010 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56008 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56009 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56006 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56011 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56007 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56003 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56005 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56002 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56004 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55996 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56000 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56001 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55936 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55999 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55998 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55995 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55997 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55991 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55994 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55993 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55965 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55970 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55969 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55964 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55881 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55960 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55961 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55955 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55959 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55954 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55951 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55949 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55948 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55945 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55946 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55941 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55932 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55940 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55937 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55933 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55929 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55927 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55920 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55923 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55921 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55925 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55916 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55917 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55968 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55966 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55910 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55909 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55914 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55913 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55906 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55971 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55902 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55897 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55967 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55905 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55950 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55958 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55957 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55963 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55952 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55956 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55962 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55953 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55901 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55943 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55898 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55894 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55893 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55942 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55947 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55944 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55939 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55931 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55935 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55928 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55930 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55934 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55938 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55919 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55885 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55891 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55889 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55922 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55990 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55992 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55989 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55884 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 55986 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56138 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56139 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56145 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56144 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56142 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56141 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56137 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56135 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56148 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56136 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56154 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56149 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56151 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56157 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56156 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56146 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56143 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56276 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56165 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56163 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56161 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56160 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56150 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56147 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56152 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56158 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56155 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56159 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56153 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56162 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56167 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56166 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56164 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56170 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56175 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56174 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56173 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56179 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56178 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56168 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56187 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56176 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56177 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56172 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56185 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56188 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56192 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56189 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56196 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56195 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56197 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56201 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56200 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56208 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56204 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56212 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56209 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56205 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56213 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56216 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56224 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56220 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56217 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56221 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56218 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56219 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56321 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56320 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56325 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56228 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56225 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56232 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56229 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56236 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56233 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56237 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56241 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56248 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56240 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56244 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56245 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56249 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56252 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56235 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56230 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56324 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56238 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56191 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56329 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56332 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56311 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56253 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56360 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56318 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56317 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56255 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56258 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56314 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56262 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56259 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56313 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56267 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56310 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56266 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56271 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56274 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56309 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56257 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56254 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56256 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56265 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56261 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56260 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56171 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56264 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56183 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56306 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56307 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56299 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56295 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56302 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56294 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56303 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56308 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56305 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56298 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56269 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56181 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56273 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56186 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56272 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56268 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56277 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56169 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56180 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56182 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56243 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56247 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56350 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56347 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56357 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56356 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56352 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56338 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56343 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56344 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56348 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56341 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
Klient: /127.0.0.1 56336 Wynik: 4 Odpowiedzi: A, A, A, A, A, A, A, A, A, A, 
